2024-11-07 13:49:42 - INFO - SHIP_ID=T140218-00102 | OP_INDEX=336 | SECTION=0 | START_TIME=2024-06-21 09:10:52 | LOG_ENTRY=데이터 개수가 4여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:42 - INFO - SHIP_ID=T140218-00102 | OP_INDEX=337 | SECTION=0 | START_TIME=2024-06-21 09:17:12 | LOG_ENTRY=데이터 개수가 30여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:42 - INFO - SHIP_ID=T140218-00102 | OP_INDEX=338 | SECTION=0 | START_TIME=2024-06-21 09:48:54 | LOG_ENTRY=데이터 개수가 3여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:42 - INFO - SHIP_ID=T140218-00102 | OP_INDEX=339 | SECTION=0 | START_TIME=2024-06-21 09:52:36 | LOG_ENTRY=데이터 개수가 24여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:42 - INFO - SHIP_ID=T140218-00102 | OP_INDEX=340 | SECTION=0 | START_TIME=2024-06-21 10:17:14 | LOG_ENTRY=데이터 개수가 22여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:42 - INFO - SHIP_ID=T140218-00102 | OP_INDEX=341 | SECTION=0 | START_TIME=2024-06-21 10:41:47 | LOG_ENTRY=데이터 개수가 146여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:42 - INFO - SHIP_ID=T140218-00102 | OP_INDEX=342 | SECTION=0 | START_TIME=2024-06-22 02:56:29 | LOG_ENTRY=데이터 개수가 41여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:42 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=448 | SECTION=0 | START_TIME=2024-06-07 13:49:40 | LOG_ENTRY=데이터 개수가 24여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:42 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=449 | SECTION=0 | START_TIME=2024-06-07 14:25:42 | LOG_ENTRY=데이터 개수가 145여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:42 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=450 | SECTION=0 | START_TIME=2024-06-11 18:19:22 | LOG_ENTRY=데이터 개수가 34여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:42 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=451 | SECTION=0 | START_TIME=2024-06-11 19:01:35 | LOG_ENTRY=데이터 개수가 15여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:42 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=452 | SECTION=0 | START_TIME=2024-06-11 19:17:18 | LOG_ENTRY=데이터 개수가 15여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:42 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=453 | SECTION=0 | START_TIME=2024-06-11 19:32:59 | LOG_ENTRY=데이터 개수가 6여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:42 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=454 | SECTION=0 | START_TIME=2024-06-11 19:49:56 | LOG_ENTRY=데이터 개수가 23여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:42 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=455 | SECTION=0 | START_TIME=2024-06-11 20:15:30 | LOG_ENTRY=데이터 개수가 21여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:43 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=456 | SECTION=0 | START_TIME=2024-06-11 20:37:32 | LOG_ENTRY=데이터 개수가 17여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:43 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=457 | SECTION=0 | START_TIME=2024-06-11 20:54:58 | LOG_ENTRY=데이터 개수가 14여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:43 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=458 | SECTION=0 | START_TIME=2024-06-11 21:09:21 | LOG_ENTRY=데이터 개수가 12여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:43 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=459 | SECTION=0 | START_TIME=2024-06-11 22:15:15 | LOG_ENTRY=데이터 개수가 15여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:43 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=460 | SECTION=0 | START_TIME=2024-06-11 22:31:22 | LOG_ENTRY=데이터 개수가 23여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
