2024-12-30 13:20:57 - INFO - SHIP_ID=T121129-06301 | OP_INDEX=1 | SECTION=0 | START_TIME=2023-04-15 05:57:07 | LOG_ENTRY=The data length is 54 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-30 13:20:57 - INFO - SHIP_ID=T121129-06301 | OP_INDEX=2 | SECTION=0 | START_TIME=2023-04-15 06:54:56 | LOG_ENTRY=The data length is 10 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-30 13:20:57 - INFO - SHIP_ID=T121129-06301 | OP_INDEX=3 | SECTION=0 | START_TIME=2023-04-15 07:08:42 | LOG_ENTRY=The data length is 1 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-30 13:20:57 - INFO - SHIP_ID=T121129-06301 | OP_INDEX=4 | SECTION=0 | START_TIME=2023-04-15 07:12:30 | LOG_ENTRY=The data length is 11 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-30 13:20:57 - INFO - SHIP_ID=T121129-06301 | OP_INDEX=5 | SECTION=0 | START_TIME=2023-04-15 07:29:16 | LOG_ENTRY=The data length is 75 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-30 13:20:57 - INFO - SHIP_ID=T121129-06301 | OP_INDEX=6 | SECTION=0 | START_TIME=2023-04-25 03:28:53  | LOG_ENTRY=After preprocessing, the model data frame does not exist, so only the statistical algorithm proceeds alone | TYPE=stats | IS_PROCESSED=True
2024-12-30 13:21:01 - INFO - SHIP_ID=T121129-06301 | OP_INDEX=7 | SECTION=0 | START_TIME=2023-05-03 06:41:30 | LOG_ENTRY=The op_type is deballast | TYPE=preprocessing | IS_PROCESSED=False
2024-12-30 13:21:01 - INFO - SHIP_ID=T121129-06301 | OP_INDEX=8 | SECTION=0 | START_TIME=2023-05-04 06:34:29 | LOG_ENTRY=The data length is 151 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-30 13:21:01 - INFO - SHIP_ID=T121129-06301 | OP_INDEX=9 | SECTION=0 | START_TIME=2023-05-24 10:29:29 | LOG_ENTRY=The data length is 43 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-30 13:21:01 - INFO - SHIP_ID=T121129-06301 | OP_INDEX=10 | SECTION=0 | START_TIME=2023-05-28 00:35:23 | LOG_ENTRY=The data length is 14 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-30 13:21:01 - INFO - SHIP_ID=T121129-06301 | OP_INDEX=11 | SECTION=0 | START_TIME=2023-05-28 00:50:05 | LOG_ENTRY=The data length is 4 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-30 13:21:01 - INFO - SHIP_ID=T121129-06301 | OP_INDEX=12 | SECTION=0 | START_TIME=2023-05-28 01:07:00 | LOG_ENTRY=The data length is 14 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-30 13:21:01 - INFO - SHIP_ID=T121129-06301 | OP_INDEX=13 | SECTION=0 | START_TIME=2023-05-28 01:22:57 | LOG_ENTRY=The data length is 15 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-30 13:21:01 - INFO - SHIP_ID=T121129-06301 | OP_INDEX=14 | SECTION=0 | START_TIME=2023-05-28 01:42:30 | LOG_ENTRY=The data length is 5 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-30 13:21:01 - INFO - SHIP_ID=T121129-06301 | OP_INDEX=15 | SECTION=0 | START_TIME=2023-05-28 01:56:20 | LOG_ENTRY=The data length is 14 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-30 13:21:02 - INFO - SHIP_ID=T121129-06301 | OP_INDEX=16 | SECTION=0 | START_TIME=2023-05-28 02:11:33 | LOG_ENTRY=The data length is 14 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-30 13:21:02 - INFO - SHIP_ID=T121129-06301 | OP_INDEX=17 | SECTION=0 | START_TIME=2023-05-28 02:32:50 | LOG_ENTRY=The data length is 80 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-30 13:21:02 - INFO - SHIP_ID=T121129-06301 | OP_INDEX=18 | SECTION=0 | START_TIME=2023-05-28 03:59:02 | LOG_ENTRY=The data length is 14 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-30 13:21:02 - INFO - SHIP_ID=T121129-06301 | OP_INDEX=19 | SECTION=0 | START_TIME=2023-05-28 04:13:41 | LOG_ENTRY=The data length is 14 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
