2024-12-17 16:31:12 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=115 | SECTION=0 | START_TIME=2023-09-13 04:14:05 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:12 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=116 | SECTION=0 | START_TIME=2023-09-13 04:34:57 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:12 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=117 | SECTION=0 | START_TIME=2023-09-13 04:55:51 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:13 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=118 | SECTION=0 | START_TIME=2023-09-13 05:17:53 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:13 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=119 | SECTION=0 | START_TIME=2023-09-13 05:38:56 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:13 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=120 | SECTION=0 | START_TIME=2023-09-13 06:00:10 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:13 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=121 | SECTION=0 | START_TIME=2023-09-13 06:21:11 | LOG_ENTRY=The data length is 24 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:14 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=122 | SECTION=0 | START_TIME=2023-09-13 06:46:10 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:14 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=123 | SECTION=0 | START_TIME=2023-09-13 07:07:05 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:14 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=124 | SECTION=0 | START_TIME=2023-09-13 07:28:01 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:15 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=125 | SECTION=0 | START_TIME=2023-09-13 07:48:57 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:15 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=126 | SECTION=0 | START_TIME=2023-09-13 08:09:52 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:15 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=127 | SECTION=0 | START_TIME=2023-09-13 08:30:50 | LOG_ENTRY=The data length is 5 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:16 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=128 | SECTION=0 | START_TIME=2023-09-13 10:38:06 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:16 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=129 | SECTION=0 | START_TIME=2023-09-13 10:58:50 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:16 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=130 | SECTION=0 | START_TIME=2023-09-13 11:19:57 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:16 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=131 | SECTION=0 | START_TIME=2023-09-13 11:41:23 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:17 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=132 | SECTION=0 | START_TIME=2023-09-13 12:02:17 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:17 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=133 | SECTION=0 | START_TIME=2023-09-13 12:23:07 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:17 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=134 | SECTION=0 | START_TIME=2023-09-13 12:43:58 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:18 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=135 | SECTION=0 | START_TIME=2023-09-13 13:04:50 | LOG_ENTRY=The data length is 2 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:18 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=137 | SECTION=0 | START_TIME=2023-09-16 02:49:18 | LOG_ENTRY=The data length is 49 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:18 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=138 | SECTION=0 | START_TIME=2023-09-16 04:22:42 | LOG_ENTRY=The data length is 54 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:19 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=139 | SECTION=0 | START_TIME=2023-09-16 05:17:34 | LOG_ENTRY=The op_type is deballast | TYPE=preprocessing | IS_PROCESSED=False
2024-12-17 16:31:19 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=140 | SECTION=0 | START_TIME=2023-09-16 08:28:55 | LOG_ENTRY=The data length is 53 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:19 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=141 | SECTION=0 | START_TIME=2023-09-16 09:22:43 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:20 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=142 | SECTION=0 | START_TIME=2023-09-16 09:43:33 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:20 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=143 | SECTION=0 | START_TIME=2023-09-16 10:04:30 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:20 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=144 | SECTION=0 | START_TIME=2023-09-16 10:25:24 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:21 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=145 | SECTION=0 | START_TIME=2023-09-16 10:46:18 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:21 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=146 | SECTION=0 | START_TIME=2023-09-16 11:07:09 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:21 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=147 | SECTION=0 | START_TIME=2023-09-16 11:28:02 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:21 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=148 | SECTION=0 | START_TIME=2023-09-16 11:48:54 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:22 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=149 | SECTION=0 | START_TIME=2023-09-16 12:09:51 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:22 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=150 | SECTION=0 | START_TIME=2023-09-16 12:30:39 | LOG_ENTRY=The data length is 33 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:22 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=151 | SECTION=0 | START_TIME=2023-09-17 01:33:55 | LOG_ENTRY=The data length is 105 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:23 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=152 | SECTION=0 | START_TIME=2023-09-17 03:38:06 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:23 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=153 | SECTION=0 | START_TIME=2023-09-17 03:58:49 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:23 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=154 | SECTION=0 | START_TIME=2023-09-17 04:19:43 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:24 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=155 | SECTION=0 | START_TIME=2023-09-17 04:40:38 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:24 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=156 | SECTION=0 | START_TIME=2023-09-17 05:01:29 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:24 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=157 | SECTION=0 | START_TIME=2023-09-17 05:22:23 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:24 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=158 | SECTION=0 | START_TIME=2023-09-17 05:43:18 | LOG_ENTRY=The data length is 14 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:25 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=159 | SECTION=0 | START_TIME=2023-09-17 05:59:30 | LOG_ENTRY=The data length is 33 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:25 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=160 | SECTION=0 | START_TIME=2023-09-17 06:34:07 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:25 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=161 | SECTION=0 | START_TIME=2023-09-17 06:54:48 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:26 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=162 | SECTION=0 | START_TIME=2023-09-17 07:15:39 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:26 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=163 | SECTION=0 | START_TIME=2023-09-17 07:36:31 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:26 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=164 | SECTION=0 | START_TIME=2023-09-17 07:57:30 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-17 16:31:27 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=165 | SECTION=0 | START_TIME=2023-09-17 08:18:25 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
