2024-12-16 15:38:22 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=40 | SECTION=0 | START_TIME=2023-08-29 12:12:21 | LOG_ENTRY=The data length is 4 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:22 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=41 | SECTION=0 | START_TIME=2023-08-29 12:40:11 | LOG_ENTRY=The data length is 14 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:23 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=42 | SECTION=0 | START_TIME=2023-08-29 12:56:09 | LOG_ENTRY=The data length is 7 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:23 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=43 | SECTION=0 | START_TIME=2023-08-29 13:15:25 | LOG_ENTRY=The data length is 14 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:23 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=44 | SECTION=0 | START_TIME=2023-08-29 14:02:40 | LOG_ENTRY=The data length is 12 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:24 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=45 | SECTION=0 | START_TIME=2023-08-29 18:01:03 | LOG_ENTRY=The data length is 25 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:24 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=46 | SECTION=0 | START_TIME=2023-08-29 18:27:30 | LOG_ENTRY=The data length is 84 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:25 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=47 | SECTION=0 | START_TIME=2023-08-29 20:16:16 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:25 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=48 | SECTION=0 | START_TIME=2023-08-29 20:37:39 | LOG_ENTRY=The data length is 11 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:25 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=49 | SECTION=0 | START_TIME=2023-08-30 05:30:15 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:26 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=50 | SECTION=0 | START_TIME=2023-08-30 05:52:20 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:26 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=52 | SECTION=0 | START_TIME=2023-08-30 07:00:57 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:26 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=53 | SECTION=0 | START_TIME=2023-08-30 07:21:44 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:27 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=54 | SECTION=0 | START_TIME=2023-08-30 07:43:53 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:27 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=55 | SECTION=0 | START_TIME=2023-08-30 08:05:57 | LOG_ENTRY=The data length is 18 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:27 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=56 | SECTION=0 | START_TIME=2023-08-30 09:10:26 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:28 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=57 | SECTION=0 | START_TIME=2023-08-30 09:31:15 | LOG_ENTRY=The data length is 5 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:28 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=58 | SECTION=0 | START_TIME=2023-08-30 09:36:50 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:28 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=59 | SECTION=0 | START_TIME=2023-08-30 09:57:48 | LOG_ENTRY=The data length is 1 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:29 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=60 | SECTION=0 | START_TIME=2023-08-30 10:03:37 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:29 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=61 | SECTION=0 | START_TIME=2023-08-30 10:24:21 | LOG_ENTRY=The data length is 3 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:30 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=62 | SECTION=0 | START_TIME=2023-08-30 10:52:40 | LOG_ENTRY=The data length is 18 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:30 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=63 | SECTION=0 | START_TIME=2023-08-30 12:07:18 | LOG_ENTRY=The data length is 33 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:30 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=64 | SECTION=0 | START_TIME=2023-08-30 12:42:43 | LOG_ENTRY=The data length is 7 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:31 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=65 | SECTION=0 | START_TIME=2023-08-30 22:21:11 | LOG_ENTRY=The data length is 17 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:14 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=66 | SECTION=0 | START_TIME=2023-08-30 23:58:19 | LOG_ENTRY=The data length is 27 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:14 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=67 | SECTION=0 | START_TIME=2023-08-31 00:26:32 | LOG_ENTRY=The data length is 22 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:14 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=68 | SECTION=0 | START_TIME=2023-08-31 00:50:23 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:15 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=69 | SECTION=0 | START_TIME=2023-08-31 00:58:24 | LOG_ENTRY=The data length is 5 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:15 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=70 | SECTION=0 | START_TIME=2023-08-31 01:17:24 | LOG_ENTRY=The data length is 14 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:15 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=71 | SECTION=0 | START_TIME=2023-08-31 02:52:45 | LOG_ENTRY=The data length is 25 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:16 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=72 | SECTION=0 | START_TIME=2023-08-31 04:16:17 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:16 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=73 | SECTION=0 | START_TIME=2023-08-31 05:27:02 | LOG_ENTRY=The data length is 24 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:16 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=74 | SECTION=0 | START_TIME=2023-08-31 06:26:32 | LOG_ENTRY=The data length is 37 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:17 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=75 | SECTION=0 | START_TIME=2023-08-31 07:05:52 | LOG_ENTRY=The data length is 55 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:17 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=76 | SECTION=0 | START_TIME=2023-08-31 09:22:15 | LOG_ENTRY=The data length is 9 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:17 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=77 | SECTION=0 | START_TIME=2023-08-31 21:27:04 | LOG_ENTRY=The data length is 9 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:18 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=78 | SECTION=0 | START_TIME=2023-09-07 05:41:12 | LOG_ENTRY=The data length is 18 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
