2024-12-10 14:02:04 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=25 | SECTION=0 | START_TIME=2023-02-19 23:37:47 | LOG_ENTRY=데이터 개수가 66여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:04 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=26 | SECTION=0 | START_TIME=2023-02-20 00:07:59 | LOG_ENTRY=데이터 개수가 99여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:05 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=27 | SECTION=0 | START_TIME=2023-02-19 23:47:00 | LOG_ENTRY=데이터 개수가 3여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:05 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=28 | SECTION=0 | START_TIME=2023-02-19 23:52:12 | LOG_ENTRY=데이터 개수가 8여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:05 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=29 | SECTION=0 | START_TIME=2023-02-20 00:03:02 | LOG_ENTRY=데이터 개수가 3여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:06 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=30 | SECTION=0 | START_TIME=2023-02-20 00:29:29 | LOG_ENTRY=데이터 개수가 12여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:06 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=31 | SECTION=0 | START_TIME=2023-02-19 23:41:13 | LOG_ENTRY=데이터 개수가 2여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:06 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=32 | SECTION=0 | START_TIME=2023-02-19 23:42:06 | LOG_ENTRY=데이터 개수가 13여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:06 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=33 | SECTION=0 | START_TIME=2023-02-19 23:50:38 | LOG_ENTRY=데이터 개수가 12여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:07 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=34 | SECTION=0 | START_TIME=2023-02-19 23:57:19 | LOG_ENTRY=데이터 개수가 13여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:07 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=35 | SECTION=0 | START_TIME=2023-02-20 00:04:46 | LOG_ENTRY=데이터 개수가 11여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:07 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=36 | SECTION=0 | START_TIME=2023-02-20 00:17:10 | LOG_ENTRY=데이터 개수가 11여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
